"Path","Line","Symbol","Flags"
"include/SimdLib/Api.h","100","load","SIMD_FLAGS(Out, RegisterOnly, ForceInline, Flatten)"
"include/SimdLib/Api.h","110","load","SIMD_FLAGS(Out, RegisterOnly, ForceInline, Flatten)"
"include/SimdLib/Api.h","116","load_aligned","SIMD_FLAGS(Out, RegisterOnly, ForceInline, Flatten)"
"include/SimdLib/Api.h","123","load_unaligned","SIMD_FLAGS(Out, RegisterOnly, ForceInline, Flatten)"
"include/SimdLib/Api.h","134","load_partial","SIMD_FLAGS(Out, RegisterOnly, ForceInline, Flatten)"
"include/SimdLib/Api.h","157","load_unsafe","SIMD_FLAGS(Out, RegisterOnly, ForceInline, Flatten)"
"include/SimdLib/Api.h","210","construct","SIMD_FLAGS(Out, RegisterOnly, ForceInline, Flatten)"
"include/SimdLib/Api.h","235","setzero","SIMD_FLAGS(Out, RegisterOnly, ForceInline, Flatten)"
"include/SimdLib/Api.h","245","set1","SIMD_FLAGS(Out, RegisterOnly, ForceInline, Flatten)"
"include/SimdLib/Api.h","257","set","SIMD_FLAGS(Out, RegisterOnly, ForceInline, Flatten)"
"include/SimdLib/Api.h","269","set_partial","SIMD_FLAGS(Out, RegisterOnly, ForceInline, Flatten)"
"include/SimdLib/Api.h","284","setr","SIMD_FLAGS(Out, RegisterOnly, ForceInline, Flatten)"
"include/SimdLib/Api.h","296","setr_partial","SIMD_FLAGS(Out, RegisterOnly, ForceInline, Flatten)"
"include/SimdLib/Api.h","311","multiply_add","SIMD_FLAGS(InOut, RegisterOnly, ForceInline, Flatten)"
"include/SimdLib/Api.h","328","widen","SIMD_FLAGS(InOut, RegisterOnly, ForceInline, Flatten)"
"include/SimdLib/Api.h","340","modulus","SIMD_FLAGS(InOut, RegisterOnly, ForceInline, Flatten)"
"include/SimdLib/Api.h","350","negate","SIMD_FLAGS(InOut, RegisterOnly, ForceInline, Flatten)"
"include/SimdLib/Api.h","360","absolute","SIMD_FLAGS(InOut, RegisterOnly, ForceInline, Flatten)"
"include/SimdLib/Api.h","370","sqrt","SIMD_FLAGS(InOut, RegisterOnly, ForceInline, Flatten)"
"include/SimdLib/Api.h","380","magnitude","SIMD_FLAGS(InOut, RegisterOnly, ForceInline, Flatten)"
"include/SimdLib/Api.h","390","magnitude_checked","SIMD_FLAGS(InOut, RegisterOnly, ForceInline, Flatten)"
"include/SimdLib/Api.h","400","normalize","SIMD_FLAGS(InOut, RegisterOnly, ForceInline, Flatten)"
"include/SimdLib/Api.h","411","avg","SIMD_FLAGS(InOut, RegisterOnly, ForceInline, Flatten)"
"include/SimdLib/Api.h","422","add_horizontal","SIMD_FLAGS(InOut, RegisterOnly, ForceInline, Flatten)"
"include/SimdLib/Api.h","433","subtract_horizontal","SIMD_FLAGS(InOut, RegisterOnly, ForceInline, Flatten)"
"include/SimdLib/Api.h","444","multiply_add_adjacent","SIMD_FLAGS(InOut, RegisterOnly, ForceInline, Flatten)"
"include/SimdLib/Api.h","455","multiply_add_unsigned_signed_bytes","SIMD_FLAGS(InOut, RegisterOnly, ForceInline, Flatten)"
