"symbol","owning_fixture","profiles","contract_category","raw_baseline","validation_owner","decision_policy","rationale"
"simdlib_partial_abi_matrix_cell<uint8_t,27>::pass","tests/codegen/PartialRegisterAbi.cpp","256/AVX2","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<uint8_t,28>::pass","tests/codegen/PartialRegisterAbi.cpp","256/AVX2","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<uint8_t,29>::pass","tests/codegen/PartialRegisterAbi.cpp","256/AVX2","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<uint8_t,30>::pass","tests/codegen/PartialRegisterAbi.cpp","256/AVX2","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<uint8_t,31>::pass","tests/codegen/PartialRegisterAbi.cpp","256/AVX2","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<uint8_t,17>::pass","tests/codegen/PartialRegisterAbi.cpp","256/AVX2","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<uint8_t,18>::pass","tests/codegen/PartialRegisterAbi.cpp","256/AVX2","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<uint8_t,19>::pass","tests/codegen/PartialRegisterAbi.cpp","256/AVX2","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<uint8_t,20>::pass","tests/codegen/PartialRegisterAbi.cpp","256/AVX2","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<uint8_t,21>::pass","tests/codegen/PartialRegisterAbi.cpp","256/AVX2","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<uint8_t,22>::pass","tests/codegen/PartialRegisterAbi.cpp","256/AVX2","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<uint8_t,23>::pass","tests/codegen/PartialRegisterAbi.cpp","256/AVX2","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<uint8_t,24>::pass","tests/codegen/PartialRegisterAbi.cpp","256/AVX2","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<uint8_t,25>::pass","tests/codegen/PartialRegisterAbi.cpp","256/AVX2","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<uint8_t,26>::pass","tests/codegen/PartialRegisterAbi.cpp","256/AVX2","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<uint16_t,10>::pass","tests/codegen/PartialRegisterAbi.cpp","256/AVX2","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<uint16_t,11>::pass","tests/codegen/PartialRegisterAbi.cpp","256/AVX2","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<uint16_t,12>::pass","tests/codegen/PartialRegisterAbi.cpp","256/AVX2","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<uint16_t,13>::pass","tests/codegen/PartialRegisterAbi.cpp","256/AVX2","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<uint16_t,14>::pass","tests/codegen/PartialRegisterAbi.cpp","256/AVX2","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<uint16_t,15>::pass","tests/codegen/PartialRegisterAbi.cpp","256/AVX2","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<uint32_t,5>::pass","tests/codegen/PartialRegisterAbi.cpp","256/AVX2","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<uint32_t,6>::pass","tests/codegen/PartialRegisterAbi.cpp","256/AVX2","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<uint32_t,7>::pass","tests/codegen/PartialRegisterAbi.cpp","256/AVX2","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<uint64_t,3>::pass","tests/codegen/PartialRegisterAbi.cpp","256/AVX2","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<int8_t,23>::pass","tests/codegen/PartialRegisterAbi.cpp","256/AVX2","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<int8_t,24>::pass","tests/codegen/PartialRegisterAbi.cpp","256/AVX2","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<int8_t,25>::pass","tests/codegen/PartialRegisterAbi.cpp","256/AVX2","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<int8_t,26>::pass","tests/codegen/PartialRegisterAbi.cpp","256/AVX2","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<int8_t,27>::pass","tests/codegen/PartialRegisterAbi.cpp","256/AVX2","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<int8_t,28>::pass","tests/codegen/PartialRegisterAbi.cpp","256/AVX2","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<int8_t,29>::pass","tests/codegen/PartialRegisterAbi.cpp","256/AVX2","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<int8_t,30>::pass","tests/codegen/PartialRegisterAbi.cpp","256/AVX2","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<int8_t,31>::pass","tests/codegen/PartialRegisterAbi.cpp","256/AVX2","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<uint16_t,9>::pass","tests/codegen/PartialRegisterAbi.cpp","256/AVX2","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<int32_t,5>::pass","tests/codegen/PartialRegisterAbi.cpp","256/AVX2","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<int32_t,6>::pass","tests/codegen/PartialRegisterAbi.cpp","256/AVX2","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<int32_t,7>::pass","tests/codegen/PartialRegisterAbi.cpp","256/AVX2","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<int64_t,3>::pass","tests/codegen/PartialRegisterAbi.cpp","256/AVX2","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<int8_t,17>::pass","tests/codegen/PartialRegisterAbi.cpp","256/AVX2","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<int8_t,18>::pass","tests/codegen/PartialRegisterAbi.cpp","256/AVX2","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<int8_t,19>::pass","tests/codegen/PartialRegisterAbi.cpp","256/AVX2","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<int8_t,20>::pass","tests/codegen/PartialRegisterAbi.cpp","256/AVX2","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<int8_t,21>::pass","tests/codegen/PartialRegisterAbi.cpp","256/AVX2","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<int8_t,22>::pass","tests/codegen/PartialRegisterAbi.cpp","256/AVX2","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<float,5>::pass","tests/codegen/PartialRegisterAbi.cpp","256/AVX2","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<float,6>::pass","tests/codegen/PartialRegisterAbi.cpp","256/AVX2","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<float,7>::pass","tests/codegen/PartialRegisterAbi.cpp","256/AVX2","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
"simdlib_partial_abi_matrix_cell<int16_t,9>::pass","tests/codegen/PartialRegisterAbi.cpp","256/AVX2","ABI value boundary","native identity","PartialRegisterAbi","ENFORCE exact or pinned hashes","one-register parameter and return"
