"symbol","owning_fixture","applicability","contract_category","comparison_baseline","comparison_record","owning_validation","decision","rationale"
"simdlib_abi_binary","tests/codegen/RegisterAbi.cpp","SSE4.2/128; AVX2/128; AVX2/256","ABI boundary","tests/codegen/RegisterAbiRaw.cpp matching native-vector signature","abi","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The explicit-object aggregate mirror isolates one non-inlined VECTORCALL signature shape from operation semantics."
"simdlib_abi_mask","tests/codegen/RegisterAbi.cpp","SSE4.2/128; AVX2/128; AVX2/256","ABI boundary","tests/codegen/RegisterAbiRaw.cpp matching native-vector signature","abi","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The explicit-object aggregate mirror isolates one non-inlined VECTORCALL signature shape from operation semantics."
"simdlib_abi_mutate","tests/codegen/RegisterAbi.cpp","SSE4.2/128; AVX2/128; AVX2/256","ABI boundary","tests/codegen/RegisterAbiRaw.cpp matching native-vector signature","abi","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The explicit-object aggregate mirror isolates one non-inlined VECTORCALL signature shape from operation semantics."
"simdlib_abi_native","tests/codegen/RegisterAbi.cpp","SSE4.2/128; AVX2/128; AVX2/256","ABI boundary","tests/codegen/RegisterAbiRaw.cpp matching native-vector signature","abi","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The explicit-object aggregate mirror isolates one non-inlined VECTORCALL signature shape from operation semantics."
"simdlib_abi_scalar","tests/codegen/RegisterAbi.cpp","SSE4.2/128; AVX2/128; AVX2/256","ABI boundary","tests/codegen/RegisterAbiRaw.cpp matching native-vector signature","abi","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The explicit-object aggregate mirror isolates one non-inlined VECTORCALL signature shape from operation semantics."
"simdlib_abi_store","tests/codegen/RegisterAbi.cpp","SSE4.2/128; AVX2/128; AVX2/256","ABI boundary","tests/codegen/RegisterAbiRaw.cpp matching native-vector signature","abi","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The explicit-object aggregate mirror isolates one non-inlined VECTORCALL signature shape from operation semantics."
"simdlib_abi_ternary","tests/codegen/RegisterAbi.cpp","SSE4.2/128; AVX2/128; AVX2/256","ABI boundary","tests/codegen/RegisterAbiRaw.cpp matching native-vector signature","abi","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The explicit-object aggregate mirror isolates one non-inlined VECTORCALL signature shape from operation semantics."
"simdlib_abi_unary","tests/codegen/RegisterAbi.cpp","SSE4.2/128; AVX2/128; AVX2/256","ABI boundary","tests/codegen/RegisterAbiRaw.cpp matching native-vector signature","abi","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The explicit-object aggregate mirror isolates one non-inlined VECTORCALL signature shape from operation semantics."
"simdlib_consumer_abi_mask_pass","tests/codegen/RegisterAbi.cpp","SSE4.2/128; AVX2/128; AVX2/256","ABI boundary","tests/codegen/RegisterAbiRaw.cpp matching native-vector signature","consumer-abi","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","A real public Register or RegisterMask crosses the downstream non-inlined VECTORCALL boundary and is compared with the native signature."
"simdlib_consumer_abi_mask_return","tests/codegen/RegisterAbi.cpp","SSE4.2/128; AVX2/128; AVX2/256","ABI boundary","tests/codegen/RegisterAbiRaw.cpp matching native-vector signature","consumer-abi","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","A real public Register or RegisterMask crosses the downstream non-inlined VECTORCALL boundary and is compared with the native signature."
